englishName,isPlanet,density,gravity,discoveredBy,discoveryDate,bodyType,bodyId
Moon,False,3.344,1.62,,,Moon,1
Phobos,False,1.9,0.0057,Asaph Hall,12/08/1877,Moon,2
Deimos,False,1.75,0.003,Asaph Hall,12/08/1877,Moon,3
Io,False,3.53,1.79,Galileo Galilei,07/01/1610,Moon,4
Europa,False,3.01,1.31,Galileo Galilei,08/01/1610,Moon,5
Ganymede,False,1.94,1.428,Galileo Galilei,11/01/1610,Moon,6
Callisto,False,1.83,1.235,Galileo Galilei,07/01/1610,Moon,7
Amalthea,False,3.1,0.02,E. Barnard,09/09/1892,Moon,8
Himalia,False,1,0.062,C. Perrine,03/12/1904,Moon,9
Elara,False,1,0.031,C. Perrine,02/01/1905,Moon,10
Pasiphae,False,1,0.022,P. Melotte,27/01/1908,Moon,11
Sinope,False,1,0.014,Seth Barnes Nicholson,21/07/1914,Moon,12
Lysithea,False,1,0.013,Seth Barnes Nicholson,06/07/1938,Moon,13
Carme,False,1,0.017,Seth Barnes Nicholson,30/07/1938,Moon,14
Ananke,False,1,0.01,Seth Barnes Nicholson,28/09/1951,Moon,15
Leda,False,1,0.0073,Charles Kowa,11/09/1974,Moon,16
Thebe,False,1,0.02,Stephen P. Synnott,05/03/1979,Moon,17
Adrastea,False,1,0.002,David C. Jewitt y G. E. Danielson,08/07/1979,Moon,18
Metis,False,1,0.005,Stephen P. Synnott,04/03/1979,Moon,19
Callirrhoe,False,1,0.0031,J.V. Scott,06/10/1999,Moon,20
Themisto,False,1,0.0029,Charles Kowal 1975 - Scott S. Sheppard y David C. Jewitt 2000,30/09/1975,Moon,21
Megaclite,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,22
Taygete,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,23
Chaldene,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,24
Harpalyke,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,25
Kalyke,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,26
Iocaste,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,27
Erinome,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,28
Isonoe,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,29
Praxidike,False,1,0,Scott S. Sheppard y David C. Jewitt,23/11/2000,Moon,30
Autonoe,False,1,0.0015,Scott S. Sheppard y David C. Jewitt,10/12/2001,Moon,31
Thyone,False,1,0.0015,Scott S. Sheppard y David C. Jewitt,11/12/2001,Moon,32
Hermippe,False,1,0.0015,Scott S. Sheppard y David C. Jewitt,19/12/2001,Moon,33
Aitne,False,1,0.0012,Scott S. Sheppard y David C. Jewitt,19/12/2001,Moon,34
Eurydome,False,1,0.0012,Scott S. Sheppard y David C. Jewitt,19/12/2001,Moon,35
Euanthe,False,1,0.0012,Scott S. Sheppard y David C. Jewitt,11/12/2001,Moon,36
Euporie,False,1,0,Scott S. Sheppard y David C. Jewitt,11/12/2001,Moon,37
Orthosie,False,1,0.00081,Scott S. Sheppard y David C. Jewitt,11/12/2001,Moon,38
Sponde,False,1,0.00081,Scott S. Sheppard y David C. Jewitt,19/12/2001,Moon,39
Kale,False,1,0.00081,Scott S. Sheppard y David C. Jewitt,19/12/2001,Moon,40
Pasithee,False,1,0.00081,Scott S. Sheppard y David C. Jewitt,11/12/2001,Moon,41
Hegemone,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,42
Mneme,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,43
Aoede,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,44
Thelxinoe,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,45
Arche,False,1,0.0012,Scott S. Sheppard y David C. Jewitt,31/10/2002,Moon,46
Kallichore,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,47
Helike,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,48
Carpo,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,49
Eukelade,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,50
Cyllene,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,51
Kore,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,52
Herse,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,53
S/2003 J 2,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,54
Eupheme,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,55
S/2003 J 4,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,56
Eirene,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,57
S/2003 J 9,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,58
S/2003 J 10,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,59
S/2003 J 12,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,60
Philophrosyne,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,61
S/2003 J 16,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,62
S/2003 J 18,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,63
S/2003 J 19,False,1,0,Scott S. Sheppard y David C. Jewitt,2003,Moon,64
S/2003 J 23,False,1,0.00081,Scott S. Sheppard y David C. Jewitt,2003,Moon,65
Mimas,False,1.15,0,William Herschel,17/09/1789,Moon,66
Enceladus,False,1.61,0,William Herschel,28/08/1789,Moon,67
Tethys,False,0.985,0,Jean-Dominique Cassini,21/03/1684,Moon,68
Dione,False,1.48,0,Jean-Dominique Cassini,21/03/1684,Moon,69
Rhea,False,1.24,0,Jean-Dominique Cassini,23/12/1672,Moon,70
Titan,False,1.88,0,Christian Huygens,25/03/1655,Moon,71
Hyperion,False,0.55,0,William Cranch Bond y George Phillips Bond,16/09/1848,Moon,72
Iapetus,False,1.09,0,Jean-Dominique Cassini,25/10/1671,Moon,73
Phoebe,False,1.64,0,William Henry Pickering,17/03/1899,Moon,74
Janus,False,0.63,0,Audouin Dollfus,15/12/1966,Moon,75
Epimetheus,False,0.64,0,Richard L. Walker,18/12/1966,Moon,76
Helene,False,1.3,0,Pierre Laques y Raymond Despiau y Jean Lecacheux,01/03/1980,Moon,77
Telesto,False,1,0,Bradford A. Smith y Harold J. Reitsema y Stephen M. Larson y John W. Fountain,08/04/1980,Moon,78
Calypso,False,1,0,Dan Pascu y P. Kenneth Seidelmann y William A. Baum y Douglas Currie,13/03/1980,Moon,79
Atlas,False,0.5,0,Richard J. Terrile,12/11/1980,Moon,80
Prometheus,False,0.48,0,Stewart A. Collins y D. Carlson,??/10/1980,Moon,81
Pandora,False,0.49,0,Stewart A. Collins,??/10/1980,Moon,82
Pan,False,0.42,0,Mark R. Showalter,22/08/1981,Moon,83
Ymir,False,1,0,Brett J. Gladman,07/08/2000,Moon,84
Paaliaq,False,1,0,John J. Kavelaars y Brett J. Gladman,07/08/2000,Moon,85
Tarvos,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,86
Ijiraq,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,87
Suttungr,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,88
Kiviuq,False,1,0,Brett J. Gladman,07/08/2000,Moon,89
Mundilfari,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,90
Albiorix,False,1,0,John J. Kavelaars y Brett J. Gladman,09/11/2000,Moon,91
Skathi,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,92
Erriapus,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,93
Siarnaq,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,94
Thrymr,False,1,0,John J. Kavelaars y Brett J. Gladman,23/09/2000,Moon,95
